,dec_min,ra_min,dec_max,ra_max,width_pix,height_pix
0,39.24901069851221,305.15764612726235,39.27784086008236,305.19680329659525,45.0,45.0
0,39.33986401987514,304.37947980207156,39.38380326429658,304.43684872025284,64.0,68.0
0,39.513367637970646,305.147018761535,39.622794156447185,305.2915591016067,162.0,169.0
0,39.27677567619456,304.3433688762235,39.411264676233955,304.53087188613483,210.0,210.0
0,41.56017051497389,309.0369119837425,41.59068643397296,309.07619378556717,45.0,46.0
0,40.701893907748875,307.508422822074,40.72588200194958,307.5398194284991,35.0,36.0
0,39.04594833128057,304.37771703725195,39.075805520268204,304.4194592910339,47.0,47.0
0,41.36169906775194,309.96576570391096,41.453258171649765,310.07629774972906,128.0,135.0
0,39.97811845231508,306.49214483636393,40.104223218592786,306.6653019581492,196.0,192.0
0,41.265023653195556,305.89728542117945,41.298949447727466,305.94512695169743,53.0,52.0
0,40.66390559959805,306.2039935985665,40.68932351979895,306.238674597922,39.0,39.0
0,41.459814282560394,309.97661607899573,41.49305798227232,310.0200503947045,50.0,49.0
0,41.39936108928755,308.4202617319063,41.422753065548925,308.4494493337208,33.0,35.0
0,41.11716138963575,308.0610581025606,41.15369086190819,308.1104321786848,56.0,55.0
0,40.18267607472234,305.515268962764,40.30551502839268,305.6824480366518,186.0,190.0
0,39.38201965603196,305.3158096679044,39.41670292843603,305.36378386319717,54.0,54.0
0,42.07000069554811,309.3180731650197,42.332881614799035,309.65036772373384,376.0,388.0
0,40.02590029973364,304.7629550237338,40.09137393404744,304.85362996013527,101.0,102.0
0,39.94658437414789,306.6238574899333,39.968868598211024,306.6527134836427,33.0,34.0
0,37.328034548607256,306.2954890642686,37.41362879385495,306.40532625557347,128.0,131.0
0,41.570894855595775,308.7378047008881,41.59546792325744,308.7697600296893,36.0,36.0
0,40.9160657357141,304.8945916194419,40.95901163256189,304.9529105805899,64.0,67.0
0,40.22025530733155,308.08332077351275,40.30968552145524,308.1995550099533,133.0,134.0
0,39.28853173042605,305.629291213763,39.32226084841034,305.6765867051511,54.0,52.0
0,37.38821805113333,306.8178465505581,37.4439177322955,306.8899664287557,85.0,85.0
0,39.04090378771731,306.5181499721891,39.076168051960224,306.56634090447074,56.0,53.0
0,42.427735872932956,310.6433022774771,42.445022702541266,310.6653668079471,25.0,25.0
0,37.35396908252531,306.8244197539455,37.39655597714206,306.8776974482926,63.0,65.0
0,41.06880302849774,304.6145815173491,41.092939662403964,304.6497673974601,38.0,37.0
0,39.95605063604166,305.57175218902063,39.98069459108415,305.60659515498963,39.0,39.0
0,41.52183617563706,309.3252734865058,41.592032024431134,309.41372486331517,101.0,104.0
0,41.19478761405041,308.79949677887504,41.227292116019626,308.8406380667721,46.0,49.0
0,41.12345969583373,306.30122613793674,41.1878817852833,306.38751410640833,95.0,98.0
0,40.0056968578142,306.8234670630512,40.067209939822504,306.90711924649634,95.0,93.0
0,39.68643956595447,309.41938650036406,39.71696970509246,309.4562133141897,44.0,45.0
0,41.388929289792145,305.16233962505834,41.417746045543055,305.20264045366736,44.0,45.0
0,42.58073657519402,309.64374284897434,42.6046235297972,309.6742101856655,34.0,36.0
0,40.20211411554153,305.5408741477731,40.26970650452293,305.62899556869775,99.0,104.0
0,39.83810499905661,309.3944250941271,39.87945807319807,309.4475558129546,62.0,61.0
0,42.26232522025335,309.2946243584908,42.291280958637465,309.3324820737948,42.0,43.0
0,41.95473589966113,309.7785717395508,42.02375994217236,309.87168166464795,106.0,101.0
0,41.206641549976375,308.75938377655706,41.23761519627006,308.7980568039782,44.0,46.0
